episode,reward
43800,0.007
43900,0.012
44000,-0.002
44100,-0.002
44200,0.013
44300,0.019
44400,-0.036
44500,-0.006
44600,0.04
44700,0.012
44800,-0.002
44900,0.002
45000,0.028
45100,0.035
45200,-0.002
45300,-0.007
45400,0.018
45500,-0.002
45600,0.045
45700,0.029
45800,0.003
45900,-0.021
46000,0.047
46100,0.009
46200,0.075
46300,0.029
46400,-0.006
46500,0.021
46600,0.02
46700,0.036
46800,0.004
46900,-0.011
47000,0.007
47100,0.033
47200,0.008
47300,0.026
47400,-0.017
47500,0.003
47600,0.03
47700,-0.004
47800,0.024
47900,0.039
48000,-0.033
48100,-0.008
48200,0.034
48300,-0.05
48400,-0.022
48500,0.017
48600,-0.011
48700,-0.03
48800,-0.032
48900,0.0
49000,0.017
49100,-0.008
49200,-0.003
49300,0.038
49400,-0.001
49500,0.015
49600,-0.011
49700,0.038
49800,0.01
49900,-0.004
50000,-0.018
