episode,reward
0,0.029
1000,0.036
2000,0.008
3000,0.012
4000,0.004
5000,0.046
6000,0.008
7000,0.041
8000,0.008
9000,-0.008
10000,0.053
11000,0.008
12000,0.029
13000,0.002
14000,0.02
15000,0.006
16000,0.04
17000,-0.033
18000,0.034
19000,-0.008
20000,-0.01
21000,0.034
22000,0.009
23000,0.021
24000,0.001
25000,0.022
26000,-0.009
27000,0.039
28000,0.019
29000,-0.04
30000,0.006
31000,-0.012
32000,0.005
33000,0.038
34000,0.009
35000,-0.034
36000,0.033
37000,0.026
38000,0.01
39000,0.004
40000,0.038
41000,-0.012
42000,0.008
43000,0.031
44000,0.013
45000,0.009
46000,-0.01
47000,0.007
48000,-0.009
49000,-0.016
50000,0.018
51000,-0.017
52000,-0.03
53000,0.013
54000,0.039
55000,0.011
56000,0.001
57000,0.038
58000,0.008
59000,0.018
60000,0.014
61000,-0.001
62000,0.016
63000,0.014
64000,-0.001
65000,0.008
66000,-0.013
67000,-0.029
68000,-0.028
69000,0.047
70000,-0.005
71000,0.013
72000,0.05
73000,0.014
74000,-0.045
75000,-0.032
76000,-0.012
77000,0.003
78000,0.0
79000,-0.034
80000,-0.017
81000,0.015
82000,0.004
83000,-0.002
84000,0.002
85000,0.017
86000,0.043
87000,0.003
88000,-0.013
89000,0.023
90000,-0.015
91000,0.028
92000,0.004
93000,0.032
94000,0.03
95000,0.048
96000,0.014
97000,0.019
98000,-0.001
99000,0.027
100000,0.025
101000,0.051
102000,0.028
103000,0.015
104000,0.064
105000,0.017
106000,-0.004
107000,0.004
108000,0.013
109000,-0.001
110000,0.005
111000,0.044
112000,-0.009
113000,0.007
114000,-0.018
115000,0.003
116000,-0.016
117000,0.019
118000,-0.003
119000,-0.017
120000,0.03
121000,-0.002
122000,0.003
123000,0.024
124000,0.031
125000,0.027
126000,0.06
127000,0.019
128000,0.014
129000,-0.004
130000,0.005
131000,0.0
132000,-0.021
133000,0.0
134000,0.003
135000,-0.011
136000,-0.01
137000,0.014
138000,0.018
139000,-0.011
140000,-0.001
141000,0.036
142000,0.001
143000,0.019
144000,-0.01
145000,0.008
146000,0.035
147000,0.008
148000,0.013
149000,0.019
150000,-0.018
151000,0.004
152000,0.026
153000,-0.012
154000,0.034
155000,0.003
156000,-0.003
157000,0.015
158000,-0.053
159000,-0.012
160000,0.031
161000,0.015
162000,0.013
163000,-0.002
164000,0.011
165000,-0.011
166000,-0.007
167000,-0.045
168000,-0.014
169000,-0.011
170000,-0.013
171000,-0.005
172000,-0.022
173000,0.05
174000,0.0
175000,0.014
176000,0.03
177000,0.022
178000,0.001
179000,0.037
180000,0.015
181000,0.006
182000,-0.017
183000,0.03
184000,-0.016
185000,0.019
186000,0.026
187000,0.023
188000,0.031
189000,0.033
190000,0.008
191000,0.045
192000,-0.004
193000,0.005
194000,0.019
195000,0.01
196000,0.01
197000,0.025
198000,-0.01
199000,0.002
200000,0.038
201000,-0.029
202000,0.016
203000,0.013
204000,0.013
205000,-0.023
206000,-0.015
207000,0.028
208000,0.003
209000,0.001
210000,-0.018
211000,0.01
212000,-0.016
213000,-0.027
214000,-0.008
215000,0.044
216000,0.001
217000,0.024
218000,0.013
219000,0.027
220000,-0.007
221000,0.016
222000,0.028
223000,0.036
224000,0.022
225000,0.024
226000,0.015
227000,-0.01
228000,0.029
229000,-0.027
230000,0.01
231000,0.035
232000,-0.022
233000,-0.027
234000,0.019
235000,-0.007
236000,0.024
237000,0.013
238000,-0.04
239000,-0.027
240000,0.046
241000,-0.037
242000,0.004
243000,0.024
244000,0.015
245000,-0.015
246000,0.007
247000,-0.026
248000,-0.032
249000,-0.038
250000,-0.028
251000,0.016
252000,-0.01
253000,0.041
254000,0.027
255000,0.001
256000,-0.017
257000,0.016
258000,0.001
259000,-0.016
260000,0.035
261000,0.001
262000,-0.02
263000,-0.042
264000,-0.013
265000,0.013
266000,0.011
267000,0.027
268000,-0.023
269000,0.016
270000,-0.011
271000,0.045
272000,-0.013
273000,-0.01
274000,-0.014
275000,0.02
276000,0.027
277000,0.047
278000,-0.026
279000,0.005
280000,-0.041
281000,-0.041
282000,-0.011
283000,0.02
284000,0.003
285000,0.008
286000,0.034
287000,-0.026
288000,-0.022
289000,0.012
290000,0.035
291000,0.018
292000,-0.007
293000,0.024
294000,-0.032
295000,0.018
296000,-0.009
297000,-0.009
298000,-0.022
299000,-0.003
300000,-0.032
301000,0.004
302000,0.042
303000,-0.032
304000,0.015
305000,0.016
306000,0.01
307000,0.011
308000,0.031
309000,-0.021
310000,0.014
311000,0.01
312000,-0.018
313000,0.022
314000,0.004
315000,0.036
316000,0.017
317000,0.003
318000,0.011
319000,-0.002
320000,0.009
321000,-0.03
322000,0.028
323000,-0.052
324000,0.026
325000,-0.019
326000,-0.008
327000,0.002
328000,0.006
329000,-0.012
330000,0.033
331000,-0.017
332000,0.036
333000,0.001
334000,0.022
335000,0.041
336000,-0.006
337000,0.056
338000,0.036
339000,-0.015
340000,-0.01
341000,0.002
342000,-0.011
343000,-0.041
344000,-0.043
345000,-0.035
346000,-0.026
347000,0.011
348000,0.015
349000,0.022
350000,-0.026
351000,-0.028
352000,-0.023
353000,-0.009
354000,0.009
355000,0.007
356000,-0.038
357000,-0.016
358000,0.024
359000,0.006
360000,-0.013
361000,-0.022
362000,0.027
363000,-0.008
364000,0.01
365000,0.014
366000,0.008
367000,-0.016
368000,0.061
369000,-0.052
370000,0.006
371000,-0.015
372000,0.02
373000,0.026
374000,0.017
375000,0.016
376000,-0.045
377000,-0.029
378000,-0.003
379000,0.009
380000,0.026
381000,-0.02
382000,-0.026
383000,-0.036
384000,0.012
385000,0.05
386000,0.026
387000,0.017
388000,0.02
389000,-0.001
390000,-0.048
391000,-0.015
392000,-0.024
393000,0.008
394000,-0.019
395000,0.0
396000,-0.003
397000,0.014
398000,0.001
399000,0.04
400000,-0.016
401000,0.031
402000,0.003
403000,0.015
404000,0.004
405000,0.015
406000,-0.002
407000,0.005
408000,-0.002
409000,0.0
410000,0.014
411000,0.04
412000,0.028
413000,-0.002
414000,-0.023
415000,-0.022
416000,0.014
417000,0.02
418000,-0.019
419000,0.001
420000,0.0
421000,0.037
422000,0.01
423000,0.022
424000,-0.019
425000,-0.014
426000,-0.029
427000,-0.004
428000,-0.024
429000,0.015
430000,0.029
431000,-0.016
432000,0.004
433000,-0.011
434000,-0.008
435000,-0.012
436000,0.011
437000,0.035
438000,-0.017
439000,-0.015
440000,-0.035
441000,0.006
442000,-0.031
443000,0.014
444000,-0.019
445000,-0.014
446000,-0.028
447000,0.039
448000,0.003
449000,-0.033
450000,0.029
451000,0.025
452000,-0.017
453000,-0.012
454000,-0.008
455000,-0.002
456000,-0.043
457000,0.01
458000,0.009
459000,0.008
460000,-0.013
461000,0.008
462000,-0.015
463000,0.005
464000,-0.03
465000,-0.021
466000,0.001
467000,0.029
468000,0.022
469000,0.002
470000,0.015
471000,-0.016
472000,0.002
473000,-0.003
474000,-0.009
475000,0.025
476000,0.016
477000,-0.02
478000,0.027
479000,-0.001
480000,0.006
481000,0.022
482000,0.024
483000,-0.006
484000,0.011
485000,-0.005
486000,0.028
487000,0.037
488000,-0.046
489000,0.018
490000,-0.007
491000,0.019
492000,0.006
493000,0.042
494000,0.005
495000,0.021
496000,-0.009
497000,0.015
498000,0.012
